Title,Link
"A survey on large language model (llm) security and privacy: The good, the bad, and the ugly",https://www.sciencedirect.com/science/article/pii/S266729522400014X
A survey of GPT-3 family large language models including ChatGPT and GPT-4,https://www.sciencedirect.com/science/article/pii/S2949719123000456
Large language models for software engineering: Survey and open problems,https://ieeexplore.ieee.org/abstract/document/10449667/
"Software testing with large language models: Survey, landscape, and vision",https://ieeexplore.ieee.org/abstract/document/10440574/
Starcoder 2 and the stack v2: The next generation,https://arxiv.org/abs/2402.19173
"Large language models: a comprehensive survey of its applications, challenges, limitations, and future prospects",https://www.researchgate.net/profile/Muhammad-Shaikh-9/publication/383818024_Large_Language_Models_A_Comprehensive_Survey_of_its_Applications_Challenges_Limitations_and_Future_Prospects/links/66dffb06b1606e24c21d8936/Large-Language-Models-A-Comprehensive-Survey-of-its-Applications-Challenges-Limitations-and-Future-Prospects.pdf
A survey on large language models for code generation,https://arxiv.org/abs/2406.00515
Magis: Llm-based multi-agent framework for github issue resolution,https://proceedings.neurips.cc/paper_files/paper/2024/hash/5d1f02132ef51602adf07000ca5b6138-Abstract-Conference.html
"A survey of large language models for code: Evolution, benchmarking, and future trends",https://arxiv.org/abs/2311.10372
Refining chatgpt-generated code: Characterizing and mitigating code quality issues,https://dl.acm.org/doi/abs/10.1145/3643674
Large language models for cyber security: A systematic literature review,https://arxiv.org/abs/2405.04760
Unifying the perspectives of nlp and software engineering: A survey on language models for code,https://arxiv.org/abs/2311.07989
Large language model-based agents for software engineering: A survey,https://arxiv.org/abs/2409.02977
"Robustness, security, privacy, explainability, efficiency, and usability of large language models for code",https://arxiv.org/abs/2403.07506
A survey on large language models for software engineering,https://arxiv.org/abs/2312.15223
When llms meet cybersecurity: A systematic literature review,https://cybersecurity.springeropen.com/articles/10.1186/s42400-025-00361-w
"Llm-based edge intelligence: A comprehensive survey on architectures, applications, security and trustworthiness",https://ieeexplore.ieee.org/abstract/document/10669603/
Devgpt: Studying developer-chatgpt conversations,https://dl.acm.org/doi/abs/10.1145/3643991.3648400
A systematic literature review on large language models for automated program repair,https://arxiv.org/abs/2405.01466
"From llms to llm-based agents for software engineering: A survey of current, challenges and future",https://arxiv.org/abs/2408.02479
Trustworthy and synergistic artificial intelligence for software engineering: Vision and roadmaps,https://ieeexplore.ieee.org/abstract/document/10449668/
Large language model for vulnerability detection and repair: Literature review and the road ahead,https://dl.acm.org/doi/abs/10.1145/3708522
Large language model-powered smart contract vulnerability detection: New perspectives,https://ieeexplore.ieee.org/abstract/document/10431564/
Large language models for blockchain security: A systematic literature review,https://arxiv.org/abs/2403.14280
An empirical study on usage and perceptions of llms in a software engineering project,https://dl.acm.org/doi/abs/10.1145/3643795.3648379
ChatGPT and finetuned BERT: A comparative study for developing intelligent design support systems,https://www.sciencedirect.com/science/article/pii/S2667305323001333
Astraios: Parameter-efficient instruction tuning code large language models,https://arxiv.org/abs/2401.00788
Comparative evaluation of commercial large language models on promptbench: An english and chinese perspective,https://assets-eu.researchsquare.com/files/rs-3987793/v1_covered_27f122c0-14cd-461d-8e6c-4d90e88a80b3.pdf
Automating research synthesis with domain-specific large language model fine-tuning,https://dl.acm.org/doi/abs/10.1145/3715964
Enchanting program specification synthesis by large language models using static analysis and program verification,https://link.springer.com/chapter/10.1007/978-3-031-65630-9_16
Integrating deep learning with symbolic reasoning in tinyllama for accurate information retrieval,https://www.researchsquare.com/article/rs-3883562/latest
Automatic commit message generation: A critical review and directions for future work,https://ieeexplore.ieee.org/abstract/document/10433002/
Meta large language model compiler: Foundation models of compiler optimization,https://arxiv.org/abs/2407.02524
Enhancing accuracy in large language models through dynamic real-time information injection,https://www.preprints.org/frontend/manuscript/8f4b8519ed7902ebe8a40c2bf8fe3549/download_pub
Automatically inspecting thousands of static bug warnings with large language model: How far are we?,https://dl.acm.org/doi/abs/10.1145/3653718
Equipping llama with google query api for improved accuracy and reduced hallucination,https://assets-eu.researchsquare.com/files/rs-4014474/v1_covered_16a039b8-40ca-4114-8122-288f8cfd82c4.pdf
Source code summarization in the era of large language models,https://arxiv.org/abs/2407.07959
Can large language models serve as data analysts? A multi-agent assisted approach for qualitative data analysis,https://arxiv.org/abs/2402.01386
Efficient and green large language models for software engineering: Vision and the road ahead,https://dl.acm.org/doi/abs/10.1145/3708525
Drowzee: Metamorphic testing for fact-conflicting hallucination detection in large language models,https://dl.acm.org/doi/abs/10.1145/3689776
"Deep learning-based software engineering: progress, challenges, and opportunities",https://link.springer.com/article/10.1007/s11432-023-4127-5
