Title,Link
"A survey on large language model (llm) security and privacy: The good, the bad, and the ugly",https://www.sciencedirect.com/science/article/pii/S266729522400014X
A survey of GPT-3 family large language models including ChatGPT and GPT-4,https://www.sciencedirect.com/science/article/pii/S2949719123000456
Large language models for software engineering: Survey and open problems,https://ieeexplore.ieee.org/abstract/document/10449667/
"Software testing with large language models: Survey, landscape, and vision",https://ieeexplore.ieee.org/abstract/document/10440574/
Refining chatgpt-generated code: Characterizing and mitigating code quality issues,https://dl.acm.org/doi/abs/10.1145/3643674
When llms meet cybersecurity: A systematic literature review,https://cybersecurity.springeropen.com/articles/10.1186/s42400-025-00361-w
"Llm-based edge intelligence: A comprehensive survey on architectures, applications, security and trustworthiness",https://ieeexplore.ieee.org/abstract/document/10669603/
Devgpt: Studying developer-chatgpt conversations,https://dl.acm.org/doi/abs/10.1145/3643991.3648400
Trustworthy and synergistic artificial intelligence for software engineering: Vision and roadmaps,https://ieeexplore.ieee.org/abstract/document/10449668/
Large language model for vulnerability detection and repair: Literature review and the road ahead,https://dl.acm.org/doi/abs/10.1145/3708522
Large language model-powered smart contract vulnerability detection: New perspectives,https://ieeexplore.ieee.org/abstract/document/10431564/
An empirical study on usage and perceptions of llms in a software engineering project,https://dl.acm.org/doi/abs/10.1145/3643795.3648379
ChatGPT and finetuned BERT: A comparative study for developing intelligent design support systems,https://www.sciencedirect.com/science/article/pii/S2667305323001333
Automating research synthesis with domain-specific large language model fine-tuning,https://dl.acm.org/doi/abs/10.1145/3715964
Enchanting program specification synthesis by large language models using static analysis and program verification,https://link.springer.com/chapter/10.1007/978-3-031-65630-9_16
Automatic commit message generation: A critical review and directions for future work,https://ieeexplore.ieee.org/abstract/document/10433002/
Automatically inspecting thousands of static bug warnings with large language model: How far are we?,https://dl.acm.org/doi/abs/10.1145/3653718
Efficient and green large language models for software engineering: Vision and the road ahead,https://dl.acm.org/doi/abs/10.1145/3708525
Drowzee: Metamorphic testing for fact-conflicting hallucination detection in large language models,https://dl.acm.org/doi/abs/10.1145/3689776
"Deep learning-based software engineering: progress, challenges, and opportunities",https://link.springer.com/article/10.1007/s11432-023-4127-5
How to refactor this code? An exploratory study on developer-ChatGPT refactoring conversations,https://dl.acm.org/doi/abs/10.1145/3643991.3645081
Large language models for qualitative research in software engineering: exploring opportunities and challenges,https://link.springer.com/article/10.1007/s10515-023-00407-8
Automatic smart contract comment generation via large language models and in-context learning,https://www.sciencedirect.com/science/article/pii/S0950584924000107
A disruptive research playbook for studying disruptive innovations,https://dl.acm.org/doi/abs/10.1145/3678172
On the reliability and explainability of language models for program generation,https://dl.acm.org/doi/abs/10.1145/3641540
Greening large language models of code,https://dl.acm.org/doi/abs/10.1145/3639475.3640097
CLAP: Learning transferable binary code representations with natural language supervision,https://dl.acm.org/doi/abs/10.1145/3650212.3652145
"Deep learning model reuse in the huggingface community: Challenges, benefit and trends",https://ieeexplore.ieee.org/abstract/document/10589852/
On the evaluation of large language models in unit test generation,https://dl.acm.org/doi/abs/10.1145/3691620.3695529
Assessing ai detectors in identifying ai-generated code: Implications for education,https://dl.acm.org/doi/abs/10.1145/3639474.3640068
Enhancing genetic improvement mutations using large language models,https://link.springer.com/chapter/10.1007/978-3-031-48796-5_13
Llm-generated explanations for recommender systems,https://dl.acm.org/doi/abs/10.1145/3631700.3665185
Code summarization without direct access to code-towards exploring federated llms for software engineering,https://dl.acm.org/doi/abs/10.1145/3661167.3661210
Fight fire with fire: How much can we trust ChatGPT on source code-related tasks?,https://ieeexplore.ieee.org/abstract/document/10745266/
Scale: Constructing structured natural language comment trees for software vulnerability detection,https://dl.acm.org/doi/abs/10.1145/3650212.3652124
An investigation into misuse of java security apis by large language models,https://dl.acm.org/doi/abs/10.1145/3634737.3661134
Learning agent-based modeling with LLM companions: Experiences of novices and experts using ChatGPT & NetLogo chat,https://dl.acm.org/doi/abs/10.1145/3613904.3642377
Assured Offline LLM-Based Software Engineering,https://dl.acm.org/doi/abs/10.1145/3643661.3643953
Effectiveness of chatgpt for static analysis: How far are we?,https://dl.acm.org/doi/abs/10.1145/3664646.3664777
Research on WebAssembly Runtimes: A Survey,https://dl.acm.org/doi/abs/10.1145/3714465
Ai coders are among us: Rethinking programming language grammar towards efficient code generation,https://dl.acm.org/doi/abs/10.1145/3650212.3680347
Identifying smart contract security issues in code snippets from stack overflow,https://dl.acm.org/doi/abs/10.1145/3650212.3680353
Test Oracle Automation in the era of LLMs,https://dl.acm.org/doi/abs/10.1145/3715107
